"","current.event","current.points","current.total_points","current.rank","current.rank_sort","current.overall_rank","current.bank","current.value","current.event_transfers","current.event_transfers_cost","current.points_on_bench","player_id","player_name"
"1",1,64,64,1296183,1297499,1296183,25,1000,0,0,8,58628,"Will"
"2",2,39,103,5721051,5721275,3283895,10,1000,1,0,6,58628,"Will"
"3",3,40,143,3985466,3986309,3412688,10,1010,0,0,3,58628,"Will"
"4",4,73,212,630068,630218,1944251,0,1017,2,4,0,58628,"Will"
"5",5,81,293,709909,710307,1086082,0,1022,0,0,0,58628,"Will"
"6",6,51,340,3041167,3041311,1252484,3,1029,3,4,5,58628,"Will"
"7",7,47,387,4993156,4993726,1551258,3,1034,0,0,0,58628,"Will"
"8",8,61,444,2646816,2646962,1657675,1,1034,3,4,0,58628,"Will"
"9",9,73,509,932840,933030,1446347,21,1035,3,8,1,58628,"Will"
"10",10,47,552,3261154,3261665,1593818,1,1038,2,4,2,58628,"Will"
"11",11,73,621,1857210,1857800,1527146,1,1039,2,4,2,58628,"Will"
"12",12,47,664,4970722,4971050,1943292,2,1039,2,4,0,58628,"Will"
"13",13,50,710,1846458,1847141,1904869,2,1038,2,4,1,58628,"Will"
"14",14,86,796,462471,462910,1380518,2,1042,0,0,0,58628,"Will"
"15",15,45,837,3169340,3169530,1490843,16,1044,3,4,0,58628,"Will"
"16",16,28,865,6230210,6230448,1819565,18,1046,1,0,0,58628,"Will"
"17",17,74,939,793347,793768,1531345,18,1046,0,0,0,58628,"Will"
"18",18,44,979,1637760,1637909,1445180,17,1043,3,4,0,58628,"Will"
"19",19,108,1087,520509,520699,1034611,17,1043,0,0,0,58628,"Will"
"20",20,52,1135,1783754,1784221,986385,72,1042,2,4,1,58628,"Will"
"21",21,54,1185,3002515,3003001,1050025,94,1045,2,4,2,58628,"Will"
"22",22,82,1267,932071,932605,912130,12,1045,1,0,6,58628,"Will"
"23",23,69,1336,2168793,2169669,882598,12,1050,1,0,13,58628,"Will"
"24",24,92,1428,876505,876972,751521,1,1051,1,0,0,58628,"Will"
"25",25,72,1496,1584035,1584571,769254,3,1052,2,4,11,58628,"Will"
"26",26,102,1590,521612,521832,649397,4,1052,3,8,0,58628,"Will"
"27",27,65,1651,3247881,3248168,718876,18,1045,2,4,16,58628,"Will"
"28",28,57,1708,984290,984800,641795,18,1049,0,0,3,58628,"Will"
"29",29,56,1760,564468,564800,558280,56,1045,3,4,0,58628,"Will"
"1",1,86,86,131343,140677,131343,5,1000,0,0,8,"2337150","Gray"
"2",2,69,155,1714205,1733353,144215,5,1000,0,0,6,"2337150","Gray"
"3",3,43,198,3412296,3432419,205419,9,1006,2,0,0,"2337150","Gray"
"4",4,49,243,3368287,3379304,572631,39,1010,2,4,0,"2337150","Gray"
"5",5,92,335,126689,131159,149071,1,1011,0,0,4,"2337150","Gray"
"6",6,44,379,4401261,4430770,242939,1,1023,0,0,5,"2337150","Gray"
"7",7,67,446,1057950,1065640,139993,0,1029,2,0,0,"2337150","Gray"
"8",8,72,518,750210,761465,90189,0,1033,0,0,1,"2337150","Gray"
"9",9,71,589,1121605,1138310,57277,0,1033,1,0,0,"2337150","Gray"
"10",10,53,642,1859427,1884712,54593,13,1035,1,0,0,"2337150","Gray"
"11",11,73,711,1893603,1898209,65799,2,1036,3,4,2,"2337150","Gray"
"12",12,65,776,1143714,1161281,53948,2,1039,0,0,11,"2337150","Gray"
"13",13,51,827,1603100,1620450,43897,6,1035,2,0,9,"2337150","Gray"
"14",14,56,883,4496877,4523341,111013,6,1039,0,0,4,"2337150","Gray"
"15",15,52,935,1660698,1680930,101632,12,1041,2,0,7,"2337150","Gray"
"16",16,53,988,718776,736472,79979,12,1044,0,0,3,"2337150","Gray"
"17",17,69,1057,1612685,1623653,69656,22,1043,2,0,12,"2337150","Gray"
"18",18,55,1112,350840,387031,49211,22,1046,0,0,8,"2337150","Gray"
"19",19,127,1231,107817,109035,21284,0,1046,3,8,0,"2337150","Gray"
"20",20,76,1307,95830,97192,6577,0,1050,0,0,33,"2337150","Gray"
"21",21,56,1363,2660793,2673242,9028,17,1052,2,0,25,"2337150","Gray"
"22",22,52,1415,4720742,4739218,26157,17,1057,0,0,12,"2337150","Gray"
"23",23,85,1500,277155,280691,14740,4,1060,2,0,26,"2337150","Gray"
"24",24,92,1592,863605,868337,13471,4,1063,0,0,18,"2337150","Gray"
"25",25,80,1672,704307,717473,12263,11,1064,1,0,8,"2337150","Gray"
"26",26,84,1756,2498362,2511104,13037,8,1065,2,0,13,"2337150","Gray"
"27",27,81,1833,1289562,1296721,11222,28,1065,2,4,11,"2337150","Gray"
"28",28,42,1875,4531157,4550048,14724,1,1068,1,0,8,"2337150","Gray"
"29",29,56,1927,552525,559208,13593,12,1064,2,4,1,"2337150","Gray"
"1",1,79,79,333669,366121,333669,0,1000,0,0,0,"4173915","Daisy"
"2",2,52,131,4026035,4069537,969346,0,1001,0,0,0,"4173915","Daisy"
"3",3,40,171,4149428,4184262,1269779,3,999,2,0,2,"4173915","Daisy"
"4",4,47,218,3634141,3663062,1607909,18,1000,1,0,2,"4173915","Daisy"
"5",5,85,303,415708,432713,744556,0,1004,0,0,14,"4173915","Daisy"
"6",6,56,359,1884803,1922168,618984,0,1013,0,0,24,"4173915","Daisy"
"7",7,70,429,722635,732256,331983,18,1020,2,0,4,"4173915","Daisy"
"8",8,58,487,3083406,3128642,415683,18,1028,0,0,17,"4173915","Daisy"
"9",9,69,556,1457392,1484566,307602,5,1027,2,0,15,"4173915","Daisy"
"10",10,40,596,4850925,4883419,458567,2,1028,1,0,3,"4173915","Daisy"
"11",11,86,682,346092,356353,249564,19,1033,1,0,0,"4173915","Daisy"
"12",12,67,749,923275,950351,191353,22,1038,1,0,19,"4173915","Daisy"
"13",13,42,791,3986119,4066822,229124,22,1043,0,0,6,"4173915","Daisy"
"14",14,79,870,1114413,1134942,186625,0,1047,1,0,13,"4173915","Daisy"
"15",15,57,927,817208,839454,138632,0,1051,0,0,8,"4173915","Daisy"
"16",16,56,983,493797,504392,97164,17,1051,2,0,3,"4173915","Daisy"
"17",17,66,1049,2003312,2060093,94859,17,1054,0,0,14,"4173915","Daisy"
"18",18,45,1094,1412742,1469790,98636,17,1054,0,0,14,"4173915","Daisy"
"19",19,90,1180,1704759,1715995,137116,12,1048,2,4,3,"4173915","Daisy"
"20",20,35,1215,5431398,5454321,199254,33,1046,1,0,4,"4173915","Daisy"
"21",21,45,1256,4662327,4680027,297835,29,1043,2,4,9,"4173915","Daisy"
"22",22,80,1336,1128988,1152515,267580,0,1041,1,0,-5,"4173915","Daisy"
"23",23,67,1403,2565836,2602746,275135,42,1046,1,0,22,"4173915","Daisy"
"24",24,88,1491,1186248,1202088,257711,39,1044,1,0,7,"4173915","Daisy"
"25",25,68,1559,2081298,2111502,285312,38,1046,1,0,13,"4173915","Daisy"
"26",26,80,1639,3085271,3128503,298704,4,1045,0,0,6,"4173915","Daisy"
"27",27,61,1700,3820995,3843855,350314,13,1047,1,0,6,"4173915","Daisy"
"28",28,57,1757,984290,1020136,302472,13,1047,0,0,6,"4173915","Daisy"
"29",29,44,1801,1306193,1324084,302712,72,1044,2,0,0,"4173915","Daisy"
"1",1,74,74,577892,611105,577892,0,1000,0,0,1,"2808893","Curt"
"2",2,55,129,3664989,3686009,1120742,0,1000,1,0,8,"2808893","Curt"
"3",3,42,171,3493067,3530991,1257475,0,1001,0,0,3,"2808893","Curt"
"4",4,54,225,2624365,2636646,1251255,0,1006,2,0,1,"2808893","Curt"
"5",5,68,293,2309679,2329225,1086082,0,1004,0,0,5,"2808893","Curt"
"6",6,63,356,893286,907261,699541,0,1005,0,0,11,"2808893","Curt"
"7",7,52,408,4022620,4039528,796889,1,1006,2,0,7,"2808893","Curt"
"8",8,48,456,5169263,5184922,1209297,2,1007,1,0,20,"2808893","Curt"
"9",9,68,524,1574130,1595334,962046,8,1002,1,0,2,"2808893","Curt"
"10",10,39,563,5066524,5087113,1228303,13,1000,1,0,4,"2808893","Curt"
"11",11,66,629,3172483,3197204,1272948,31,1000,1,0,1,"2808893","Curt"
"12",12,51,680,4087880,4111807,1455601,11,1002,1,0,14,"2808893","Curt"
"13",13,54,734,962386,983058,1220503,31,1002,1,0,14,"2808893","Curt"
"14",14,78,812,1227983,1243251,1002341,10,1003,1,0,9,"2808893","Curt"
"15",15,44,856,3302085,3325694,1052168,8,1008,1,0,2,"2808893","Curt"
"16",16,56,912,470158,482799,813002,4,1008,1,0,1,"2808893","Curt"
"17",17,46,958,5916125,5924289,1123775,5,1009,1,0,9,"2808893","Curt"
"18",18,55,1013,350840,391836,835346,5,1009,0,0,10,"2808893","Curt"
"19",19,49,1062,7171995,7173293,1436043,0,1009,1,0,7,"2808893","Curt"
"20",20,58,1120,944007,958010,1200354,0,1002,0,0,5,"2808893","Curt"
"21",21,84,1204,126837,129716,788625,19,1003,1,0,11,"2808893","Curt"
"22",22,62,1266,3494656,3509509,915932,2,1007,1,0,18,"2808893","Curt"
"23",23,82,1348,437555,448176,737894,20,1015,1,0,0,"2808893","Curt"
"24",24,95,1443,666463,676411,601571,11,1015,1,0,12,"2808893","Curt"
"25",25,71,1514,1671998,1693457,598520,12,1016,1,0,6,"2808893","Curt"
"26",26,65,1579,5953386,5962276,740864,5,1016,1,0,3,"2808893","Curt"
"27",27,69,1648,2649241,2665316,739124,18,1015,1,0,1,"2808893","Curt"
"28",28,41,1689,4633290,4681838,802365,18,1011,0,0,3,"2808893","Curt"
"29",29,37,1726,1955406,1968187,826652,42,1010,2,0,0,"2808893","Curt"
"1",1,72,72,703813,727549,703813,0,1000,0,0,1,"1534451","HarryM"
